driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
2,SAR,8,1,HARD,44.057,73.895,45.725,219.0,203,163.677
22,TSU,2,1,MEDIUM,28.209,40.627,27.181,303.0,273,96.017
11,PER,2,1,MEDIUM,27.98,40.101,27.026,307.0,273,95.107
16,LEC,17,3,SOFT,78.905,60.193,41.097,127.0,238,180.195
81,PIA,16,4,MEDIUM,35.875554819720385,43.224,28.016,288.0,260,824.728
20,MAG,8,2,SOFT,35.875554819720385,59.391,32.283,177.0,237,855.178
22,TSU,6,2,SOFT,34.276,62.726,51.285,250.0,125,148.287
20,MAG,4,1,MEDIUM,47.185,62.855,32.725,214.0,176,142.765
22,TSU,11,2,SOFT,27.531,57.599,37.013,302.0,135,122.143
11,PER,4,1,SOFT,44.739,59.583,43.187,166.0,243,147.509
23,ALB,12,4,SOFT,27.445,39.912,48.749,308.0,276,116.106
4,NOR,16,3,SOFT,28.599,41.736,27.559,289.0,262,97.894
44,HAM,13,4,SOFT,77.635,75.161,38.421,145.0,152,191.217
14,ALO,6,1,HARD,38.936,52.534,41.012,194.0,223,132.482
11,PER,11,2,SOFT,35.875554819720385,67.807,43.853,264.0,221,738.147
14,ALO,5,1,HARD,28.317,41.25,27.377,306.0,274,96.944
14,ALO,15,4,MEDIUM,58.898,45.753,31.457,289.0,244,136.108
77,BOT,19,4,HARD,29.075,42.028,27.703,284.0,257,98.806
20,MAG,7,2,SOFT,35.875554819720385,65.261,39.45,174.0,233,247.483
40,RESERVE,27,3,SOFT,68.695,51.302,39.833,244.0,250,159.83
63,RUS,12,5,SOFT,35.875554819720385,53.615,37.959,275.0,248,586.366
81,PIA,5,1,HARD,41.634,56.703,39.661,206.0,221,137.998
14,ALO,15,6,SOFT,35.875554819720385,65.088,39.381,189.0,258,270.006
63,RUS,4,1,MEDIUM,27.697,40.092,26.733,303.0,273,94.522
44,HAM,4,2,SOFT,35.875554819720385,47.97,68.775,257.0,260,490.04
20,MAG,11,2,SOFT,55.425,73.93,37.007,124.0,218,166.362
55,SAI,7,1,HARD,51.932,72.19,41.846,142.0,122,165.968
20,MAG,10,2,SOFT,55.019,81.742,58.078,107.0,105,194.839
55,SAI,16,5,SOFT,26.881,38.477,25.812,313.0,280,91.17
24,ZHO,9,1,MEDIUM,32.077,45.812,38.499,269.0,247,116.388
22,TSU,22,4,MEDIUM,28.985,42.123,27.822,285.0,256,98.93
77,BOT,15,4,HARD,63.96,43.106,28.278,279.0,254,135.344
4,NOR,15,3,SOFT,28.723,42.013,27.605,252.29595222295953,260,98.341
27,HUL,22,3,HARD,50.982,47.256,38.889,245.0,198,137.127
1,VER,16,3,MEDIUM,29.257,41.777,31.845,281.0,251,102.879
2,SAR,4,1,SOFT,35.641,60.439,49.489,270.0,254,145.569
27,HUL,2,1,SOFT,27.39,39.689,26.629,312.0,280,93.708
24,ZHO,11,3,SOFT,33.265,44.027,31.261,252.29595222295953,257,108.553
27,HUL,8,3,SOFT,27.322,39.358,26.482,310.0,277,93.162
20,MAG,23,3,HARD,52.476,59.216,40.757,286.0,179,152.449
44,HAM,23,4,MEDIUM,56.561,45.874,37.075,257.0,208,139.51
18,STR,25,3,MEDIUM,59.544,44.42,40.598,302.0,205,144.562
81,PIA,21,4,MEDIUM,32.295,57.475,48.828,229.0,203,138.598
31,OCO,3,1,MEDIUM,46.531,69.607,41.416,145.0,156,157.554
77,BOT,21,3,SOFT,40.54,69.428,48.878,167.0,109,158.846
77,BOT,13,2,SOFT,29.193,42.259,27.945,282.0,258,99.397
22,TSU,9,1,MEDIUM,33.089,56.289,39.189,246.0,186,128.567
24,ZHO,21,5,MEDIUM,29.283,42.998,28.476,252.29595222295953,254,100.757
44,HAM,11,3,SOFT,27.545,39.941,26.669,305.0,274,94.155
44,HAM,5,2,MEDIUM,27.804,39.689,26.568,305.0,273,94.061
31,OCO,2,1,HARD,28.115,40.945,27.473,305.0,272,96.533
24,ZHO,5,1,SOFT,27.491,39.719,26.605,308.0,278,93.815
20,MAG,9,2,SOFT,27.883,39.938,27.185,302.0,273,95.006
20,MAG,6,1,MEDIUM,27.479,39.809,26.722,312.0,278,94.01
16,LEC,19,4,SOFT,27.018,38.884,26.479,313.0,280,92.381
31,OCO,4,2,SOFT,35.875554819720385,60.443,45.183,182.0,229,320.91
10,GAS,12,4,SOFT,36.482,53.005,84.748,253.0,188,174.235
1,VER,2,1,MEDIUM,27.936,40.383,26.747,308.0,274,95.066
14,ALO,10,2,SOFT,46.053,59.69,44.16,157.0,212,149.903
24,ZHO,17,5,MEDIUM,54.488,43.426,28.317,277.0,253,126.231
1,VER,12,2,SOFT,27.508,39.544,26.424,306.0,273,93.476
